ElapsedSec,Distance,Azimuth,TargetLat,TargetLng,Angle,Direction,AngleValid
1.23,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.3,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.37,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.43,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.56,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.63,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.69,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.76,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.83,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.89,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.96,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.02,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.09,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.16,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.22,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.29,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.35,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.42,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.48,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.55,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.62,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.68,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.81,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.88,0.0,0.0,30.374217,130.959968,269.94,0.0,1
2.94,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.01,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.08,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.14,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.21,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.27,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.34,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.41,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.47,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.54,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.61,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.67,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.74,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.81,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.87,0.0,0.0,30.374217,130.959968,269.94,0.0,1
3.94,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.01,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.07,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.16,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.22,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.29,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.36,0.0,0.0,30.374217,130.959968,269.94,0.0,1
