ElapsedSec,MagX,MagY,MagZ
42.34,520.88,-81.25,201.75
42.41,520.88,-81.25,201.75
42.47,520.88,-81.25,201.75
42.54,520.88,-81.25,201.75
42.61,520.88,-81.25,201.75
42.67,520.88,-81.25,201.75
42.74,520.88,-81.25,201.75
42.81,520.88,-81.25,201.75
42.87,520.88,-81.25,201.75
42.94,520.88,-81.25,201.75
43.01,520.88,-81.25,201.75
43.07,520.88,-81.25,201.75
43.14,520.88,-81.25,201.75
43.2,520.88,-81.25,201.75
43.27,520.88,-81.25,201.75
43.34,520.88,-81.25,201.75
43.4,520.88,-81.25,201.75
43.47,520.88,-81.25,201.75
43.54,520.88,-81.25,201.75
43.6,520.88,-81.25,201.75
43.67,520.88,-81.25,201.75
43.74,520.88,-81.25,201.75
43.8,520.88,-81.25,201.75
43.87,520.88,-81.25,201.75
43.94,520.88,-81.25,201.75
44.0,520.88,-81.25,201.75
44.07,520.88,-81.25,201.75
44.14,520.88,-81.25,201.75
44.2,520.88,-81.25,201.75
44.27,520.88,-81.25,201.75
44.33,520.88,-81.25,201.75
44.4,520.88,-81.25,201.75
44.47,520.88,-81.25,201.75
44.54,520.88,-81.25,201.75
44.6,520.88,-81.25,201.75
44.67,520.88,-81.25,201.75
44.73,520.88,-81.25,201.75
44.8,520.88,-81.25,201.75
44.87,520.88,-81.25,201.75
44.93,520.88,-81.25,201.75
45.0,520.88,-81.25,201.75
45.08,520.88,-81.25,201.75
45.14,520.88,-81.25,201.75
45.21,520.88,-81.25,201.75
45.27,520.88,-81.25,201.75
45.34,520.88,-81.25,201.75
45.4,520.88,-81.25,201.75
45.47,520.88,-81.25,201.75
45.54,520.88,-81.25,201.75
45.6,520.88,-81.25,201.75
45.67,520.88,-81.25,201.75
45.74,520.88,-81.25,201.75
45.8,520.88,-81.25,201.75
45.87,520.88,-81.25,201.75
45.93,520.88,-81.25,201.75
46.0,520.88,-81.25,201.75
46.06,520.88,-81.25,201.75
46.13,520.88,-81.25,201.75
46.2,520.88,-81.25,201.75
46.26,520.88,-81.25,201.75
46.33,520.88,-81.25,201.75
46.4,520.88,-81.25,201.75
46.46,520.88,-81.25,201.75
46.53,520.88,-81.25,201.75
46.6,520.88,-81.25,201.75
46.66,520.88,-81.25,201.75
46.73,520.88,-81.25,201.75
46.79,520.88,-81.25,201.75
46.86,520.88,-81.25,201.75
46.93,520.88,-81.25,201.75
46.99,520.88,-81.25,201.75
47.06,520.88,-81.25,201.75
47.12,520.88,-81.25,201.75
47.19,520.88,-81.25,201.75
47.26,520.88,-81.25,201.75
47.32,520.88,-81.25,201.75
47.39,520.88,-81.25,201.75
47.46,520.88,-81.25,201.75
47.52,520.88,-81.25,201.75
47.59,520.88,-81.25,201.75
47.66,520.88,-81.25,201.75
47.73,520.88,-81.25,201.75
47.8,520.88,-81.25,201.75
47.86,520.88,-81.25,201.75
47.93,520.88,-81.25,201.75
48.0,520.88,-81.25,201.75
48.06,520.88,-81.25,201.75
48.13,520.88,-81.25,201.75
48.19,520.88,-81.25,201.75
48.26,520.88,-81.25,201.75
48.33,520.88,-81.25,201.75
48.39,520.88,-81.25,201.75
48.46,520.88,-81.25,201.75
48.53,520.88,-81.25,201.75
48.59,520.88,-81.25,201.75
48.66,520.88,-81.25,201.75
48.72,520.88,-81.25,201.75
48.79,520.88,-81.25,201.75
48.87,520.88,-81.25,201.75
48.95,520.88,-81.25,201.75
49.03,520.88,-81.25,201.75
49.1,520.88,-81.25,201.75
49.17,520.88,-81.25,201.75
49.26,520.88,-81.25,201.75
49.33,520.88,-81.25,201.75
49.4,520.88,-81.25,201.75
49.46,520.88,-81.25,201.75
49.53,520.88,-81.25,201.75
49.6,520.88,-81.25,201.75
49.66,520.88,-81.25,201.75
49.73,520.88,-81.25,201.75
49.8,520.88,-81.25,201.75
49.86,520.88,-81.25,201.75
49.93,520.88,-81.25,201.75
50.0,520.88,-81.25,201.75
50.06,520.88,-81.25,201.75
50.13,520.88,-81.25,201.75
50.2,520.88,-81.25,201.75
50.26,520.88,-81.25,201.75
50.33,520.88,-81.25,201.75
50.4,520.88,-81.25,201.75
50.46,520.88,-81.25,201.75
50.53,520.88,-81.25,201.75
50.6,520.88,-81.25,201.75
50.66,520.88,-81.25,201.75
50.73,520.88,-81.25,201.75
50.8,520.88,-81.25,201.75
50.87,520.88,-81.25,201.75
50.93,520.88,-81.25,201.75
51.0,520.88,-81.25,201.75
51.07,520.88,-81.25,201.75
51.13,520.88,-81.25,201.75
51.2,520.88,-81.25,201.75
51.27,520.88,-81.25,201.75
51.33,520.88,-81.25,201.75
51.4,520.88,-81.25,201.75
51.47,520.88,-81.25,201.75
51.53,520.88,-81.25,201.75
51.6,520.88,-81.25,201.75
51.67,520.88,-81.25,201.75
51.73,520.88,-81.25,201.75
51.8,520.88,-81.25,201.75
51.87,520.88,-81.25,201.75
51.94,520.88,-81.25,201.75
52.0,520.88,-81.25,201.75
52.07,520.88,-81.25,201.75
52.14,520.88,-81.25,201.75
52.2,520.88,-81.25,201.75
52.27,520.88,-81.25,201.75
52.33,520.88,-81.25,201.75
52.4,520.88,-81.25,201.75
52.47,520.88,-81.25,201.75
52.53,520.88,-81.25,201.75
52.6,520.88,-81.25,201.75
52.66,520.88,-81.25,201.75
52.73,520.88,-81.25,201.75
52.79,520.88,-81.25,201.75
52.86,520.88,-81.25,201.75
52.93,520.88,-81.25,201.75
